COMUNA_N,COMUNA,BCG_RN,HepB_RN,Cohorte_2M,Cohorte_4M,Hexavalente_3d_6m,Cohorte_12M,Cohorte_18M,Cohorte_36M,Hexavalente_ref_18m
13101,13101,3963,3963,4002,4028,4046,4085,4489,4385,4489
13102,13102,722,722,744,767,758,794,825,741,825
13103,13103,1161,1161,1188,1231,1278,1356,1498,1413,1498
13104,13104,906,906,913,943,965,1077,1149,1130,1149
13105,13105,1124,1124,1153,1175,1245,1341,1450,1434,1450
13106,13106,1754,1754,1820,1886,1930,2099,2272,2182,2272
13107,13107,820,820,818,796,789,815,880,897,880
13108,13108,1118,1118,1116,1117,1154,1243,1373,1391,1373
13109,13109,886,886,898,926,911,948,974,940,974
13110,13110,2911,2911,2898,3027,3074,3244,3394,3318,3394
13111,13111,837,837,848,853,886,959,1012,1002,1012
13112,13112,1489,1489,1554,1580,1606,1751,1853,1914,1853
13113,13113,505,505,526,540,550,572,596,628,596
13114,13114,2562,2562,2618,2637,2704,2779,2832,2947,2832
13115,13115,884,884,884,874,931,1041,1044,1088,1044
13116,13116,685,685,722,733,753,857,910,924,910
13117,13117,597,597,616,661,705,763,816,767,816
13118,13118,908,908,894,919,958,1044,1127,1099,1127
13119,13119,3375,3375,3440,3460,3541,3863,4180,4092,4180
13120,13120,1953,1953,2017,1986,1973,2032,2207,2256,2207
13121,13121,687,687,661,656,674,774,911,865,911
13122,13122,1715,1715,1789,1843,1871,2002,2071,1940,2071
13123,13123,1222,1222,1214,1243,1233,1279,1342,1453,1342
13124,13124,1654,1654,1708,1736,1767,1843,1991,2031,1991
13125,13125,1665,1665,1704,1752,1790,1956,2157,2137,2157
13126,13126,1100,1100,1115,1172,1198,1277,1365,1326,1365
13127,13127,1254,1254,1289,1326,1341,1428,1538,1599,1538
13128,13128,1249,1249,1280,1335,1312,1430,1518,1520,1518
13129,13129,673,673,715,711,724,766,844,819,844
13130,13130,1422,1422,1451,1501,1533,1742,1814,1713,1814
13131,13131,608,608,625,614,629,708,770,770,770
13132,13132,1112,1112,1110,1112,1122,1079,1028,1281,1028
13201,13201,4277,4277,4372,4454,4520,4763,5070,5070,5070
13202,13202,262,262,281,291,290,300,269,270,269
13203,13203,125,125,128,122,123,118,129,153,129
13301,13301,1816,1816,1823,1866,1915,2064,2130,2087,2130
13302,13302,1494,1494,1464,1521,1561,1622,1762,1801,1762
13303,13303,186,186,190,191,189,197,206,252,206
13401,13401,2664,2664,2759,2785,2889,3135,3360,3247,3360
13402,13402,1283,1283,1276,1317,1323,1323,1387,1437,1387
13403,13403,198,198,200,193,197,191,246,257,246
13404,13404,758,758,744,753,778,842,931,819,931
13501,13501,1411,1411,1424,1456,1466,1564,1696,1638,1696
13502,13502,98,98,96,98,102,111,127,116,127
13503,13503,281,281,275,304,303,316,345,352,345
13504,13504,135,135,136,118,121,142,172,170,172
13505,13505,134,134,136,129,127,146,163,125,163
13601,13601,614,614,631,655,680,736,773,767,773
13602,13602,345,345,338,336,338,309,363,401,363
13603,13603,333,333,329,337,345,363,370,358,370
13604,13604,781,781,783,817,846,886,953,866,953
13605,13605,665,665,670,709,711,791,890,874,890
