COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13101,VACUNA BCG,BCG_RN,4348
13101,VACUNA DTPA 1 BASICO,dTpa_1basico,3831
13101,VACUNA DTPA 8 BASICO,dTpa_8basico,4718
13101,VACUNA DTPA GESTANTES,dTpa_Gestantes,3325
13101,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,3423
13101,VACUNA HEPATITIS B RN,HepB_RN,4401
13101,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,3774
13101,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,3599
13101,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3545
13101,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,3496
13101,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,3653
13101,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,3858
13101,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,3652
13101,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,615
13101,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,3783
13101,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,3619
13101,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,3587
13101,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,1666
13101,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,3628
13101,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2662
13101,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,3548
13101,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2800
13101,VACUNA VPH 4 BASICO,VPH_4basico,4103
13101,VACUNA VPH 5 BASICO,VPH_5basico,3751
13102,VACUNA BCG,BCG_RN,610
13102,VACUNA DTPA 1 BASICO,dTpa_1basico,797
13102,VACUNA DTPA 8 BASICO,dTpa_8basico,760
13102,VACUNA DTPA GESTANTES,dTpa_Gestantes,604
13102,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,778
13102,VACUNA HEPATITIS B RN,HepB_RN,643
13102,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,708
13102,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,708
13102,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,698
13102,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,784
13102,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,734
13102,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,711
13102,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,708
13102,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,140
13102,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,707
13102,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,706
13102,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,733
13102,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,418
13102,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,735
13102,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,650
13102,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,788
13102,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,668
13102,VACUNA VPH 4 BASICO,VPH_4basico,814
13102,VACUNA VPH 5 BASICO,VPH_5basico,729
13103,VACUNA BCG,BCG_RN,1156
13103,VACUNA DTPA 1 BASICO,dTpa_1basico,1197
13103,VACUNA DTPA 8 BASICO,dTpa_8basico,1142
13103,VACUNA DTPA GESTANTES,dTpa_Gestantes,988
13103,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1219
13103,VACUNA HEPATITIS B RN,HepB_RN,1155
13103,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1133
13103,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1126
13103,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1136
13103,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1192
13103,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1146
13103,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1148
13103,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1132
13103,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,173
13103,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1137
13103,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1128
13103,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1175
13103,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,633
13103,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1184
13103,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,991
13103,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1220
13103,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,988
13103,VACUNA VPH 4 BASICO,VPH_4basico,1261
13103,VACUNA VPH 5 BASICO,VPH_5basico,1006
13104,VACUNA BCG,BCG_RN,877
13104,VACUNA DTPA 1 BASICO,dTpa_1basico,1308
13104,VACUNA DTPA 8 BASICO,dTpa_8basico,1283
13104,VACUNA DTPA GESTANTES,dTpa_Gestantes,819
13104,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1036
13104,VACUNA HEPATITIS B RN,HepB_RN,890
13104,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,883
13104,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,929
13104,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,901
13104,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1053
13104,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,986
13104,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,892
13104,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,925
13104,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,151
13104,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,884
13104,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,927
13104,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1021
13104,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,618
13104,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1029
