COMUNA_N,COMUNA,dTpa_1basico,VPH_4basico,VPH_5basico,dTpa_8basico
13101,Santiago,3932,4421,4432,5327
13102,Cerrillos,958,972,1027,979
13103,Cerro Navia,1326,1412,1345,1357
13104,Conchalí,1496,1720,1743,1578
13105,El Bosque,2366,2607,2528,2566
13106,Estación Central,1857,1932,1909,1811
13107,Huechuraba,1004,1218,1147,1166
13108,Independencia,1373,1455,1434,1454
13109,La Cisterna,1447,1651,1658,1819
13110,La Florida,4425,5246,5184,5429
13111,La Granja,1332,1463,1474,1431
13112,La Pintana,2220,2554,2451,2453
13113,La Reina,1388,1833,1742,1707
13114,Las Condes,2569,2885,2831,3031
13115,Lo Barnechea,1247,1592,1529,1624
13116,Lo Espejo,844,838,867,900
13117,Lo Prado,959,1092,997,986
13118,Macul,1039,1304,1200,1096
13119,Maipú,5674,6519,6420,6892
13120,Ñuñoa,2146,2322,2304,2634
13121,Pedro Aguirre Cerda,1142,1280,1285,1223
13122,Peñalolén,2255,2825,2698,2936
13123,Providencia,1581,1833,1769,2403
13124,Pudahuel,2398,2637,2475,2404
13125,Quilicura,2846,3091,3125,3171
13126,Quinta Normal,1800,1935,1939,1849
13127,Recoleta,2066,2300,2245,2279
13128,Renca,1663,1891,1680,1853
13129,San Joaquín,782,837,791,806
13130,San Miguel,1579,1631,1574,1734
13131,San Ramón,864,1107,1071,1106
13132,Vitacura,1225,1437,1387,1240
13201,Puente Alto,6275,7413,7051,7512
13202,Pirque,291,339,317,296
13203,San José de Maipo,176,206,193,207
13301,Colina,2731,2961,2973,3100
13302,Lampa,1914,1988,1828,1700
13303,Tiltil,280,322,274,263
13401,San Bernardo,3654,4146,4023,4312
13402,Buin,1535,1638,1607,1647
13403,Calera De Tango,367,419,392,424
13404,Paine,1208,1280,1231,1324
13501,Melipilla,1934,2118,1999,2105
13502,Alhué,119,129,124,119
13503,Curacavi,476,562,534,561
13504,María Pinto,164,187,166,175
13505,San Pedro,147,163,152,150
13601,Talagante,1189,1388,1356,1522
13602,El Monte,427,554,514,485
13603,Isla De Maipo,456,558,516,540
13604,Padre Hurtado,1079,1148,1157,1135
13605,Peñaflor,1108,1296,1175,1340
