COMUNA_N,COMUNA,GESTANTES_ESTIMADAS
13101,Santiago,4591.0
13102,Cerrillos,776.0
13103,Cerro Navia,1479.0
13104,Conchalí,1183.0
13105,El Bosque,1501.0
13106,Estación Central,2284.0
13107,Huechuraba,939.0
13108,Independencia,1456.0
13109,La Cisterna,984.0
13110,La Florida,3474.0
13111,La Granja,1049.0
13112,La Pintana,2004.0
13113,La Reina,657.0
13114,Las Condes,3085.0
13115,Lo Barnechea,1139.0
13116,Lo Espejo,967.0
13117,Lo Prado,803.0
13118,Macul,1151.0
13119,Maipú,4284.0
13120,Ñuñoa,2362.0
13121,Pedro Aguirre Cerda,906.0
13122,Peñalolén,2031.0
13123,Providencia,1521.0
13124,Pudahuel,2126.0
13125,Quilicura,2237.0
13126,Quinta Normal,1388.0
13127,Recoleta,1674.0
13128,Renca,1591.0
13129,San Joaquín,857.0
13130,San Miguel,1793.0
13131,San Ramón,806.0
13132,Vitacura,1341.0
13201,Puente Alto,5308.0
13202,Pirque,283.0
13203,San José de Maipo,160.0
13301,Colina,2185.0
13302,Lampa,1885.0
13303,Tiltil,264.0
13401,San Bernardo,3399.0
13402,Buin,1504.0
13403,Calera de Tango,269.0
13404,Paine,857.0
13501,Melipilla,1715.0
13502,Alhué,121.0
13503,Curacaví,369.0
13504,María Pinto,178.0
13505,San Pedro,131.0
13601,Talagante,803.0
13602,El Monte,420.0
13603,Isla de Maipo,375.0
13604,Padre Hurtado,907.0
13605,Peñaflor,915.0
