COD_COMUNA_JOIN,COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
1101,13108,Independencia,VACUNA DTPA 1 BASICO,dTpa_1basico,1
1101,13108,Independencia,VACUNA DTPA 8 BASICO,dTpa_8basico,4
1101,13108,Independencia,VACUNA VPH 4 BASICO,VPH_4basico,2
1101,13108,Independencia,VACUNA VPH 5 BASICO,VPH_5basico,6
2203,13505,San Pedro,VACUNA DTPA 1 BASICO,dTpa_1basico,1
3201,13103,Cerro Navia,VACUNA DTPA 8 BASICO,dTpa_8basico,1
4101,13112,La Pintana,VACUNA DTPA 1 BASICO,dTpa_1basico,1
4101,13113,La Reina,VACUNA DTPA 1 BASICO,dTpa_1basico,1
4101,13113,La Reina,VACUNA DTPA 8 BASICO,dTpa_8basico,2
4101,13110,La Florida,VACUNA VPH 4 BASICO,VPH_4basico,1
4101,13113,La Reina,VACUNA VPH 4 BASICO,VPH_4basico,5
4101,13113,La Reina,VACUNA VPH 5 BASICO,VPH_5basico,2
5103,13104,Conchalí,VACUNA DTPA 1 BASICO,dTpa_1basico,1
5103,13104,Conchalí,VACUNA DTPA 8 BASICO,dTpa_8basico,3
5103,13104,Conchalí,VACUNA VPH 4 BASICO,VPH_4basico,3
5103,13120,Ñuñoa,VACUNA VPH 4 BASICO,VPH_4basico,1
5103,13104,Conchalí,VACUNA VPH 5 BASICO,VPH_5basico,2
5109,13132,Vitacura,VACUNA DTPA 1 BASICO,dTpa_1basico,2
5109,13132,Vitacura,VACUNA DTPA 8 BASICO,dTpa_8basico,1
5301,13117,Lo Prado,VACUNA DTPA 1 BASICO,dTpa_1basico,1
5301,13115,Lo Barnechea,VACUNA DTPA 8 BASICO,dTpa_8basico,1
5401,13109,La Cisterna,VACUNA DTPA 1 BASICO,dTpa_1basico,1
5401,13109,La Cisterna,VACUNA VPH 4 BASICO,VPH_4basico,2
5405,13130,San Miguel,VACUNA VPH 4 BASICO,VPH_4basico,1
5601,13401,San Bernardo,VACUNA VPH 5 BASICO,VPH_5basico,3
5604,13602,El Monte,VACUNA DTPA 1 BASICO,dTpa_1basico,3
5604,13602,El Monte,VACUNA VPH 5 BASICO,VPH_5basico,3
6107,13109,La Cisterna,VACUNA DTPA 1 BASICO,dTpa_1basico,1
6107,13109,La Cisterna,VACUNA VPH 4 BASICO,VPH_4basico,1
6107,13114,Las Condes,VACUNA VPH 4 BASICO,VPH_4basico,1
6115,13128,Renca,VACUNA DTPA 1 BASICO,dTpa_1basico,1
6115,13128,Renca,VACUNA DTPA 8 BASICO,dTpa_8basico,1
6115,13128,Renca,VACUNA VPH 4 BASICO,VPH_4basico,1
6115,13128,Renca,VACUNA VPH 5 BASICO,VPH_5basico,3
6310,13120,Ñuñoa,VACUNA DTPA 1 BASICO,dTpa_1basico,1
6310,13131,San Ramón,VACUNA DTPA 1 BASICO,dTpa_1basico,1
7101,13601,Talagante,VACUNA DTPA 1 BASICO,dTpa_1basico,3
7101,13601,Talagante,VACUNA DTPA 8 BASICO,dTpa_8basico,3
7101,13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,2
7101,13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,7
7301,13123,Providencia,VACUNA DTPA 1 BASICO,dTpa_1basico,1
7301,13114,Las Condes,VACUNA VPH 5 BASICO,VPH_5basico,1
7304,13501,Melipilla,VACUNA VPH 4 BASICO,VPH_4basico,1
7304,13501,Melipilla,VACUNA VPH 5 BASICO,VPH_5basico,1
7401,13106,Estación Central,VACUNA VPH 5 BASICO,VPH_5basico,1
8101,13132,Vitacura,VACUNA DTPA 1 BASICO,dTpa_1basico,1
8101,13505,San Pedro,VACUNA DTPA 1 BASICO,dTpa_1basico,1
8101,13505,San Pedro,VACUNA VPH 4 BASICO,VPH_4basico,1
8110,13601,Talagante,VACUNA VPH 4 BASICO,VPH_4basico,2
8110,13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,2
8112,13110,La Florida,VACUNA VPH 5 BASICO,VPH_5basico,1
8301,13101,Santiago,VACUNA DTPA 1 BASICO,dTpa_1basico,1
9108,13114,Las Condes,VACUNA VPH 4 BASICO,VPH_4basico,1
9108,13114,Las Condes,VACUNA VPH 5 BASICO,VPH_5basico,1
9112,13301,Colina,VACUNA DTPA 1 BASICO,dTpa_1basico,1
9112,13604,Padre Hurtado,VACUNA VPH 4 BASICO,VPH_4basico,4
9112,13604,Padre Hurtado,VACUNA VPH 5 BASICO,VPH_5basico,3
9114,13202,Pirque,VACUNA DTPA 1 BASICO,dTpa_1basico,1
9114,13202,Pirque,VACUNA VPH 5 BASICO,VPH_5basico,1
9202,13301,Colina,VACUNA DTPA 1 BASICO,dTpa_1basico,1
9202,13301,Colina,VACUNA VPH 4 BASICO,VPH_4basico,2
9209,13127,Recoleta,VACUNA VPH 4 BASICO,VPH_4basico,1
9211,13601,Talagante,VACUNA VPH 5 BASICO,VPH_5basico,1
