COD_COMUNA_RESID,COMUNA_RESIDENCIA,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13101,Santiago,VACUNA BCG,BCG_HepB_RN,4357
13101,Santiago,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,3912
13101,Santiago,VACUNA HEPATITIS B RN,BCG_HepB_RN,3864
13101,Santiago,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,3711
13101,Santiago,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,4373
13101,Santiago,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,3740
13101,Santiago,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,4178
13101,Santiago,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,4007
13101,Santiago,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3365
13101,Santiago,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,4048
13101,Santiago,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,3340
13102,Cerrillos,VACUNA BCG,BCG_HepB_RN,608
13102,Cerrillos,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,820
13102,Cerrillos,VACUNA HEPATITIS B RN,BCG_HepB_RN,623
13102,Cerrillos,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,714
13102,Cerrillos,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,783
13102,Cerrillos,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,775
13102,Cerrillos,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,966
13102,Cerrillos,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,783
13102,Cerrillos,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,738
13102,Cerrillos,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,854
13102,Cerrillos,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,711
13103,Cerro Navia,VACUNA BCG,BCG_HepB_RN,1163
13103,Cerro Navia,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1361
13103,Cerro Navia,VACUNA HEPATITIS B RN,BCG_HepB_RN,1105
13103,Cerro Navia,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1180
13103,Cerro Navia,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1239
13103,Cerro Navia,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1251
13103,Cerro Navia,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1609
13103,Cerro Navia,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1279
13103,Cerro Navia,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1183
13103,Cerro Navia,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1353
13103,Cerro Navia,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1094
13104,Conchalí,VACUNA BCG,BCG_HepB_RN,874
13104,Conchalí,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1101
13104,Conchalí,VACUNA HEPATITIS B RN,BCG_HepB_RN,856
13104,Conchalí,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,951
13104,Conchalí,VACUNA MENINGOCOCICA DOSIS UNICA,Trivirica_1d_Neumo_Meningo_12m,1118
13104,Conchalí,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Trivirica_1d_Neumo_Meningo_12m,1075
13104,Conchalí,VACUNA NEUMOCOCICA POLISACARIDA 23V ADULTOS,NEUMO_23V_65,1351
13104,Conchalí,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Trivirica_1d_Neumo_Meningo_12m,1097
13104,Conchalí,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,931
13104,Conchalí,VACUNA VARICELA 1RA DOSIS,Varicela_1d_HepA_18m,1107
13104,Conchalí,VACUNA VARICELA 2DA DOSIS,Trivirica_2d_Varicela_2d_36m,1037
13105,El Bosque,VACUNA BCG,BCG_HepB_RN,1140
13105,El Bosque,VACUNA HEPATITIS A PEDIATRICA,Varicela_1d_HepA_18m,1702
13105,El Bosque,VACUNA HEPATITIS B RN,BCG_HepB_RN,1123
13105,El Bosque,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1389
